name,version,hash
libghc-multiset-comb-doc,0.2.4.1-5,6f76b04147c96bc3a0acea6358fc71c8
liballegro-physfs5.2,2:5.2.6.0-3,c28ba49b1145bbeb98a81390fe60aed5
libgusb2,0.3.5-1,5002fe44067ebb87486e4f19fc3b9a1c
libghc-hledger-lib-dev,1.18.1-1,4408fed873c0e4d47130b33792c47635
golang-github-containers-image,5.10.3-1,fa8299ab72c1b3a3ff60829b168987c8
dpkg-repack,1.47,58c828450f508625ba3a345a37cba18e
libglobus-gram-client3,14.4-1,7f544dfc5061a7ed1f570395085ebec8
libvtk9-qt-dev,9.0.1+dfsg1-8,80d01e2bd46a6ac3833b193cedd7148b
python3-astroscrappy,1.0.8-1+b4,30e406869b84d0c920867b1b0d6da8d4
cakephp-scripts,2.10.11-2.1,ff2f9b95d10f426bfcfe2e48810b7183
shotcut,21.01.29+ds-1,bd690c6149bb7257d6c2f3e07fd27915
python3-libtorrent,1.2.9-0.3,853e4d595489ce2e0f9f0c10ea6f39ab
libelf-dev,0.183-1,86aa9dd0c1c6d0c21363b2f096ea9f3e
vorbisgain,0.37-2+b1,fb1843ad8ea97b4b6114972e6a90faae
fcitx-googlepinyin,0.1.6-4,298acfa85357ef06b3a26ee34283a9ee
smitools,0.4.8+dfsg2-16,663f0fe8ec10cfca06d43fda1346e6d2
libjuh-java,1:7.0.4-4+deb11u1,df2f6e1a945c034c80f6243cd2c85b70
flare,0.19-1.1,177f27a6e3129d69e7d9fde346555da9
libexpected-dev,1.0.0~dfsg-2,d3ad71990fbdd8e0840b70884f096702
libkf5activitiesstats-doc,5.78.0-2,549a387c380bf46a6871acc945af23e1
cbflib-bin,0.9.6+dfsg1-2+b2,df3211c46e875152403e741de9ad9882
phosh,0.8.0-1,294d2a222f4c3c8319d042c0358e9924
fact++,1.6.5~dfsg-3,6be78bec292f12f1c832ccc278d79c74
liblzma-dev,5.2.5-2,5509e0be5ff5fdfc42b9f85f9f93009b
libtrilinos-teuchos12,12.18.1-2,051ce7a906e1eea1012b760faae46d15
sfftw-dev,2.1.5-4.2+b1,a38f1b78e7b7fbd02ad26e1479747717
libghc-cborg-json-doc,0.2.2.0-1,1ee88b4d476250b860da25b49aa72f30
libcss-minifier-xs-perl,0.11-1,e2df9ec6e49c57f774d3408653583af5
libmount-dev,2.36.1-8,0569bb98beee679db6231fd58e2b7a6e
elpa-lua-mode,20201010-1,dbe284a9812aa275e9af4934978ff93c
arptables,0.0.5-3,480b9a344d98486971c39abaea78c5cf
golang-github-disintegration-imaging-dev,1.6.2-1,51955f327b3872e61d7a10f138376369
djview4,4.12-2,e4654583e93443eaad61bdd667d15dd4
task-thai-desktop,3.68,337a276478cf6dfe8c9bf191ea85cd8d
devscripts,2.21.3+deb11u1,d45ad09d00e693335643d3e0fec0f34a
qtspeech5-doc-html,5.15.2-2,f2f71b10ad6e54355a45478908aad251
libzeep-doc,5.0.2-3,3f4246ef38d8701f966cfe72951599b6
python3-pygtrie,2.2-1.1,336cc989e879289e99e6466a13672ed6
php-geshi,1.0.9.1-1,d6b503ae32c31ef28577f04084a747db
fltk1.1-doc,1.1.10-29,e06e99f83f7479df8cf150109fde9409
libkf5kexiv2-dev,20.12.0-1,d7c8f060dfa3510a53237c63970df180
fstl,0.9.4-1,f1963e5505b9b48b6c11987e754a483c
libsvn-hooks-perl,1.34-2,1dd409192a163bb8c8f1c4cd5c393f8a
ckb-next,0.4.3+dfsg.1-0.1,3ddb01987fd6b4122efaea46ff2251c0
python3-fiat,2019.2.0~git20210116.0439689-2,e26df83bd9bb47d341b5e6712e248911
